Team,Year,WINorLOSS,TeamPoints,Assists,FieldGoals,TotalRebounds
ATL,2014,W,2360,590,859,962
ATL,2015,W,6185,1566,2301,2392
ATL,2016,W,4763,1200,1795,1977
ATL,2017,W,4024,947,1498,1670
ATL,2018,W,1468,357,552,629
BOS,2014,W,1186,300,464,500
BOS,2015,W,4886,1175,1846,2112
BOS,2016,W,5458,1273,2012,2276
BOS,2017,W,6868,1563,2471,2822
BOS,2018,W,2674,596,1005,1171
BRK,2014,W,1544,332,580,653
BRK,2015,W,3381,742,1312,1439
BRK,2016,W,2281,474,833,921
BRK,2017,W,2827,593,1002,1207
BRK,2018,W,1663,397,598,657
CHI,2014,W,2297,471,808,1011
CHI,2015,W,4728,1039,1757,2236
CHI,2016,W,4308,996,1629,1924
CHI,2017,W,4190,962,1575,1803
CHI,2018,W,1597,353,580,620
CHO,2014,W,1059,229,404,462
CHO,2015,W,4117,879,1521,1872
CHO,2016,W,5427,1162,1963,2324
CHO,2017,W,3353,710,1193,1391
CHO,2018,W,2759,582,989,1087
CLE,2014,W,1960,451,720,748
CLE,2015,W,5971,1304,2189,2517
CLE,2016,W,6875,1474,2501,2801
CLE,2017,W,5803,1246,2113,2177
CLE,2018,W,3075,649,1120,1138
DAL,2014,W,2616,586,981,950
DAL,2015,W,4931,1077,1841,2018
DAL,2016,W,3412,725,1253,1415
DAL,2017,W,3852,827,1424,1493
DAL,2018,W,1232,269,447,478
DEN,2014,W,1360,279,501,619
DEN,2015,W,3187,744,1190,1317
DEN,2016,W,3861,830,1409,1620
DEN,2017,W,5265,1221,1960,2085
DEN,2018,W,3144,758,1152,1186
DET,2014,W,823,160,310,383
DET,2015,W,4544,935,1685,2002
DET,2016,W,4423,919,1675,1951
DET,2017,W,4634,997,1784,1990
DET,2018,W,2109,459,800,906
GSW,2014,W,2758,682,1041,1146
GSW,2015,W,8196,2073,3044,3284
GSW,2016,W,8521,2214,3166,3312
GSW,2017,W,7987,2103,2984,3012
GSW,2018,W,3437,887,1291,1276
HOU,2014,W,2285,448,791,1008
HOU,2015,W,5452,1153,1901,2264
HOU,2016,W,5886,1286,2102,2331
HOU,2017,W,6611,1383,2292,2513
HOU,2018,W,4377,837,1518,1722
IND,2014,W,1199,255,457,552
IND,2015,W,4566,984,1684,2018
IND,2016,W,4569,965,1713,1962
IND,2017,W,4995,1090,1882,1962
IND,2018,W,3131,672,1214,1261
LAC,2014,W,2405,564,871,927
LAC,2015,W,5970,1382,2176,2447
LAC,2016,W,5939,1271,2179,2375
LAC,2017,W,5066,1053,1841,2048
LAC,2018,W,3019,626,1111,1166
LAL,2014,W,1090,253,414,453
LAL,2015,W,1790,365,656,801
LAL,2016,W,2497,486,924,1069
LAL,2017,W,2850,608,1075,1185
LAL,2018,W,2695,617,1016,1173
MEM,2014,W,2393,539,906,977
MEM,2015,W,5084,1109,1929,2211
MEM,2016,W,4785,1000,1750,1983
MEM,2017,W,3502,728,1243,1411
MEM,2018,W,1104,240,401,432
MIA,2014,W,1408,316,518,542
MIA,2015,W,4152,871,1541,1793
MIA,2016,W,4273,914,1663,1871
MIA,2017,W,5403,1106,2007,2167
MIA,2018,W,2692,616,1018,1147
MIL,2014,W,1724,397,664,740
MIL,2015,W,3732,936,1440,1559
MIL,2016,W,3926,918,1481,1603
MIL,2017,W,4826,1090,1800,1799
MIL,2018,W,2790,639,1043,1068
MIN,2014,W,520,125,195,216
MIN,2015,W,2412,514,880,1027
MIN,2016,W,3209,741,1170,1187
MIN,2017,W,4803,1060,1794,1886
MIN,2018,W,2760,585,1024,1069
NOP,2014,W,1726,382,672,683
NOP,2015,W,4128,937,1538,1719
NOP,2016,W,3745,838,1394,1542
NOP,2017,W,4315,970,1623,1742
NOP,2018,W,3572,866,1382,1412
NYK,2014,W,492,110,190,193
NYK,2015,W,2818,628,1037,1204
NYK,2016,W,3590,756,1369,1558
NYK,2017,W,3566,762,1345,1521
NYK,2018,W,1241,288,473,540
OKC,2014,W,1710,343,625,761
OKC,2015,W,5852,1178,2211,2575
OKC,2016,W,6009,1299,2251,2581
OKC,2017,W,5026,1021,1864,2198
OKC,2018,W,3275,649,1198,1301
ORL,2014,W,1313,267,502,547
ORL,2015,W,3213,691,1253,1393
ORL,2016,W,3430,801,1313,1365
ORL,2017,W,2914,632,1080,1179
ORL,2018,W,1421,332,520,582
PHI,2014,W,380,73,140,196
PHI,2015,W,1669,406,607,784
PHI,2016,W,1604,383,594,654
PHI,2017,W,4085,980,1477,1764
PHI,2018,W,3992,1030,1515,1708
PHO,2014,W,2001,396,746,795
PHO,2015,W,3546,684,1353,1523
PHO,2016,W,2319,452,838,1068
PHO,2017,W,3121,611,1141,1327
PHO,2018,W,759,171,279,318
POR,2014,W,2763,613,1041,1251
POR,2015,W,4137,867,1550,1862
POR,2016,W,4942,1020,1816,1990
POR,2017,W,4941,911,1810,2069
POR,2018,W,3472,660,1287,1472
SAC,2014,W,1411,250,493,592
SAC,2015,W,3035,662,1109,1275
SAC,2016,W,3876,852,1433,1556
SAC,2017,W,3204,707,1207,1311
SAC,2018,W,1544,342,618,663
SAS,2014,W,2108,518,783,861
SAS,2015,W,6638,1601,2559,2842
SAS,2016,W,7100,1631,2688,2848
SAS,2017,W,6365,1465,2397,2672
SAS,2018,W,2353,508,886,1000
TOR,2014,W,2632,517,944,998
TOR,2015,W,4654,928,1664,1988
TOR,2016,W,6295,1139,2267,2540
TOR,2017,W,5886,1134,2187,2373
TOR,2018,W,3955,911,1466,1631
UTA,2014,W,1108,230,401,500
UTA,2015,W,4049,809,1488,1909
UTA,2016,W,4803,939,1754,2079
UTA,2017,W,4968,1052,1829,2050
UTA,2018,W,3550,804,1314,1477
WAS,2014,W,2273,583,897,959
WAS,2015,W,3973,969,1528,1702
WAS,2016,W,4708,1123,1807,1872
WAS,2017,W,6070,1344,2294,2416
WAS,2018,W,2516,662,954,960
